Company Name,TIDM,Sector,Country of Incorporation,LSE Market
Bloomsbury Publishing Plc,BMY,Media,United Kingdom,MAIN MARKET
Bluebird Merchant Ventures Ltd,BMV,Basic Resources,British Virgin Islands,MAIN MARKET
Bluefield Solar Income Fund Limited,BSIF,Financial Services ,Guernsey,MAIN MARKET
Bodycote Plc,BOY,Industrial Goods and Services,United Kingdom,MAIN MARKET
Boot (Henry) Plc,BD82,Real Estate ,United Kingdom,MAIN MARKET
Boot (Henry) Plc,BOOT,Real Estate ,United Kingdom,MAIN MARKET
Boston International Holdings Plc,BIH,Financial Services ,United Kingdom,MAIN MARKET
Boussard & Gavaudan Holding Limited,BGHL,Financial Services ,Guernsey,MAIN MARKET
Boussard & Gavaudan Holding Limited,BGHS,Financial Services ,Guernsey,MAIN MARKET
Bowen Fintech Plc,BWN,Financial Services ,United Kingdom,MAIN MARKET
Bp Plc,BP.,Energy,United Kingdom,MAIN MARKET
Bp Plc,BP.A,Energy,United Kingdom,MAIN MARKET
Bp Plc,BP.B,Energy,United Kingdom,MAIN MARKET
Braemar Plc,BMS,Industrial Goods and Services,United Kingdom,MAIN MARKET
Breedon Group Plc,BREE,Construction and Materials,United Kingdom,MAIN MARKET
Bridgepoint Group Plc,BPT,Financial Services ,United Kingdom,MAIN MARKET
Bristol & West Plc,BWSA,Financial Services ,United Kingdom,MAIN MARKET
Bristol Water Plc,BWRA,Utilities,United Kingdom,MAIN MARKET
British & American Investment Trust Plc,BAF,Financial Services ,United Kingdom,MAIN MARKET
British American Tobacco Plc,BATS,"Food, Beverage and Tobacco ",United Kingdom,MAIN MARKET
British Land Company Plc,BLND,Real Estate ,United Kingdom,MAIN MARKET
British Smaller Companies Vct Plc,BSV,Financial Services ,United Kingdom,MAIN MARKET
British Smaller Companies Vct2 Plc,BSC,Financial Services ,United Kingdom,MAIN MARKET
Britvic Plc,BVIC,"Food, Beverage and Tobacco ",United Kingdom,MAIN MARKET
Brown Advisory Us Smaller Companies Plc,BASC,Financial Services ,United Kingdom,MAIN MARKET
Brunner Investment Trust Plc,44GL,Financial Services ,United Kingdom,MAIN MARKET
Brunner Investment Trust Plc,BUT,Financial Services ,United Kingdom,MAIN MARKET
Bsf Enterprise Plc,BSFA,Health Care  ,United Kingdom,MAIN MARKET
Bt Group Plc,BT.A,Telecommunications,United Kingdom,MAIN MARKET
Bunzl Plc,BNZL,Industrial Goods and Services,United Kingdom,MAIN MARKET
Burberry Group Plc,BRBY,Consumer Products and Services,United Kingdom,MAIN MARKET
Bytes Technology Group Plc,BYIT,Technology,United Kingdom,MAIN MARKET
C&C Group Plc,CCR,"Food, Beverage and Tobacco ",Ireland,MAIN MARKET
Cab Payments Holdings Plc,CABP,Financial Services ,United Kingdom,MAIN MARKET
Cadogan Energy Solutions Plc,CAD,Energy,United Kingdom,MAIN MARKET
Caffyns Plc,78GL,Retail ,United Kingdom,MAIN MARKET
Caffyns Plc,79GL,Retail ,United Kingdom,MAIN MARKET
Caffyns Plc,CFYN,Retail ,United Kingdom,MAIN MARKET
Cairn Homes Plc,CRN,Consumer Products and Services,Ireland,MAIN MARKET
Calculus Vct Plc,CLC,Financial Services ,United Kingdom,MAIN MARKET
Caledonia Investments Plc,CLDN,Financial Services ,United Kingdom,MAIN MARKET
"Canadian General Investments, Ld",CGI,Financial Services ,Canada,MAIN MARKET
Canadian Overseas Petroleum Limited,COPL,Energy,Canada,MAIN MARKET
Capita Plc,CPI,Industrial Goods and Services,United Kingdom,MAIN MARKET
Capital & Regional Plc,CAL,Real Estate ,United Kingdom,MAIN MARKET
Capital Gearing Trust Plc,CGT,Financial Services ,United Kingdom,MAIN MARKET
Capital Limited,CAPD,Basic Resources,Bermuda,MAIN MARKET
Capricorn Energy Plc,CNE,Energy,United Kingdom,MAIN MARKET
Caracal Gold Plc,GCAT,Basic Resources,United Kingdom,MAIN MARKET
Carclo Plc,CAR,Industrial Goods and Services,United Kingdom,MAIN MARKET
Card Factory Plc,CARD,Retail ,United Kingdom,MAIN MARKET
Cardiff Property Plc,CDFF,Real Estate ,United Kingdom,MAIN MARKET
Carillion Plc,CLLN,Industrial Goods and Services,United Kingdom,MAIN MARKET
Carnival Plc,CCL,Travel and Leisure,United Kingdom,MAIN MARKET
